Row 1334: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5346.06.26
Row 1335: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5347.06.26
Row 1336: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5348.06.26
Row 1337: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5349.06.26
Row 1338: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5350.06.26
Row 1340: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5352.06.26
Row 1341: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5353.06.26
Row 1342: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5354.06.26
Row 1345: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5357.06.26
Row 1348: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5360.06.26
Row 1349: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5361.06.26
Row 1350: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5362.06.26
Row 1351: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5363.06.26
Row 1352: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5364.06.26
Row 1353: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5365.06.26
Row 1354: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5366.06.26
Row 1355: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5367.06.26
Row 1356: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5368.06.26
Row 1357: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5369.06.26
Row 1358: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5370.06.26
Row 1359: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5371.06.26
Row 1360: Đầu vào: 2026-06-06 00:00:00, Ép TL: nan, Pipe: 5372.06.26
